# https://civitai.com/articles/14248/female-character-database-and-prompt-table-for-comfyui-and-pony-sdxl
2b from nier automata, white hair
a2 from nier automata, platinum blonde hair
abby anderson from the last of us part ii, blonde hair
acheron from honkai star rail, violet hair
ada wong from resident evil, black hair
adelie from space dandy, brown hair
admiral graf spee from azur lane, silver hair
admiral nakhimov from azur lane, silver hair
adora she-ra from masters of the universe, blonde hair
aerith gainsborough from final fantasy vii, brown hair
agari kamiya from scorching ping pong girls, dark blue hair
agatha harkness from wandavision agatha all along, black purple hair
ägir from azur lane, white hair
ahri from league of legends, black hair with white streaks hair
ahsoka tano from star wars the clone wars, white blue hair
ai from neo geo battle coliseum, brown hair
ai hayasaka from kaguya-sama love is war, blonde hair
ai hoshino from oshi no ko, blonde hair
aika sumeragi from agent aika, blonde hair
aikuro mikisugi weibliche form from kill la kill, purple hair
aila jyrkiäinen from gundam build fighters, platinum blonde hair
airi from queens blade, orange hair
ais wallenstein from danmachi is it wrong to pick up girls in a dungeon, blonde hair
aisha from rumble roses, blonde hair
aisha udgard from how a realist hero rebuilt the kingdom, blue hair
akagi from azur lane, dark brown hair
akagi from kancolle, brown hair
akali from league of legends, black hair
akame from akame ga kill, black hair
akane isshiki from vividred operation, red hair
akane kurokawa from oshi no ko, black hair
akemi from vagabond, brown hair
akemi roppongi from dumbbell nan kilo moteru, brown hair
akeno himejima from high school dxd, black hair
akira hiiragi from valkyrie drive, silver hair
akko kagari from little witch academia, brown hair
alana from image comics, black hair
albedo from overlord, black hair
albion from azur lane, blonde hair
alexandrina sebastiane victoria from zenless zone zero, bright grey white hair
alhaitham from genshin impact, green hair
alice from goddess of victory nikke, blonde hair
alice liddle from zenescope, blonde hair
alice margatroid from bloody roar, blonde hair
alice nakata from garou densetsu, blonde hair
alice nakiri from food wars, white hair
alice tsukagami from bloody roar, blonde hair
alice zuberg from sword art online, blonde hair
alicent hightower from house of the dragon, brown hair
alicia arcturus from freezing, violet hair
alisa bosconovitch from tekken, rose hair
alleyne from queens blade, blonde hair
aloy from horizon zero dawn, orange hair
alsace from azur lane, blonde hair
alyx vance from half-life, black hair
amagi bc from azur lane, brown hair
amagi cv from azur lane, dark brown hair
amane okayama from negative positive angler, brown hair
amane suzuha from chaos head visual novel indie-adaptation, brown hair
amara from borderlands, black hair
amaryllis from dr stone, black hair
amatsukaze alt ver from kantai collection fan, silver hair
ambessa from league of legends, black hair
amelia evans from freezing, silver hair
amelia evans from princess principal, blonde hair
america chavez from doctor strange, black hair
ami kawashima from toradora, blue hair
amicia de rune from a plague tale, brown hair
amuro ninagawa from kenkou zenrakei suieibu umishou, blonde hair
amy sorel from soul calibur, orange hair
anastasia from fate grand order, silver hair
anby demara from zenless zone zero, blonde hair
anby demara from zenless zone zero, white and silver hair
anchorage from azur lane, light blue hair
android 18 from dragonball z, blonde hair
android 21 from dragon ball fighter z, white hair
anesthesia from rumble roses, brown hair
ange from cross ange, blonde hair
ange angelise from cross ange, blonde hair
angel from the king of fighters, white hair
angela from carole & tuesday, blonde hair
angela balzac from expelled from paradise, blonde hair
anis from goddess of victory nikke, blonde hair
anko mitarashi from naruto, purple hair
ann takamaki panther from persona 5, blonde hair
anna from fire emblem, red hair
anna from oneechanbara, blonde hair
anna kurauchi from he is my master, red hair
anna nishikinomiya from shimoneta, white hair
anna williams from tekken, brown hair
anna williams from tekken, brown hair
annette fantine dominic from fire emblem, orange hair
annette rockhart from freezing, red hair
annie leonhart from attack on titan, blonde hair
anri sonohara from durarara, black hair
antonia from cat planet cuties, blonde hair
anya forger from spy x family, rose hair
anzu yamasaki from gantz g, blonde hair
aoi futaba from cat planet cuties, blue hair
aoi futaba from vividred operation, blue hair
aphrodite from hades, rose hair
aphrodite from record of ragnarok, blonde hair
aqua from konosuba, light blue hair
aqua hoshino from oshi no ko, blue hair
aranea highwind from final fantasy xv, grey hair
arcueid brunestud from tsukihime, blonde hair
aria from akame ga kill, blonde hair
aria kisaki from 25 dimensional seduction, blonde hair
arin kannazuki from trinity seven, blonde hair
arisa mikami from triage x, black hair
ark royal from azur lane, dark brown hair
arlecchino from genshin impact, white black hair
armaroid lady from space adventure cobra, silver hair
arnett mcmillan from freezing, red hair
arnett mcmillan from freezing manga-version, red hair
arnice from nights of azure, red hair
arona from blue archive, blue hair
arrow from fire force, black hair
artoria pendragon from fate-series, blonde hair
ashley graham from resident evil, blonde hair
asia argento from high school dxd, blonde hair
asia argento from high school dxd, blonde hair
asmodeus from seven mortal sins, pink hair
astaredh female variant from soul calibur, black hair
astaroth from seven mortal sins, green hair
astra yao from zenless zone zero, dark green hair
astra yao from zenless zone zero, black hair
astraea from heavens lost property, blonde hair
asuka from senran kagura, brown hair
asuka from senran kagura, dark brown hair
asuka langley soryu from neon genesis evangelion, red hair
asuka langley soryu from neon genesis evangelion, red hair
asuna yuuki from sword art online, orange-brown hair
atago from azur lane, white hair
atena saotome from mother of the goddess dormitory, rose hair
athena asamiya from the king of fighters, purple hair
atom eve from image comics, red hair
attia simmons from freezing, green hair
aurora from azur lane, blonde hair
aurora from league of legends, white blue hair
aveline de grandpré from assassins creed iii liberation, black hair
aya from oneechanbara, brown hair
aya brea from parasite eve, blonde hair
aya iseshima from master of martial hearts, black hair
aya natsume from tenjo tenge, brown hair
ayaka kamisato from genshin impact, white hair
ayaka mizusawa from puraore, brown hair
ayame kajou from shimoneta, black hair
