# https://civitai.com/articles/14248/female-character-database-and-prompt-table-for-comfyui-and-pony-sdxl
2b from nier automata, white hair, nier automata setting
a2 from nier automata, platinum blonde hair, nier automata setting
abby anderson from the last of us part ii, blonde hair, the last of us part ii setting
acheron from honkai star rail, violet hair, honkai star rail setting
ada wong from resident evil, black hair, resident evil setting
adelie from space dandy, brown hair, space dandy setting
admiral graf spee from azur lane, silver hair, azur lane setting
admiral nakhimov from azur lane, silver hair, azur lane setting
adora she-ra from masters of the universe, blonde hair, masters of the universe setting
aerith gainsborough from final fantasy vii, brown hair, final fantasy vii setting
agari kamiya from scorching ping pong girls, dark blue hair, scorching ping pong girls setting
agatha harkness from wandavision agatha all along, black purple hair, wandavision agatha all along setting
ahri from league of legends, black hair with white streaks hair, league of legends setting
ahsoka tano from star wars the clone wars, white blue hair, star wars the clone wars setting
ai hayasaka from kaguya-sama love is war, blonde hair, kaguya-sama love is war setting
ai hoshino from oshi no ko, blonde hair, oshi no ko setting
ai from neo geo battle coliseum, brown hair, neo geo battle coliseum setting
aika sumeragi from agent aika, blonde hair, agent aika setting
aikuro mikisugi weibliche form from kill la kill, purple hair, kill la kill setting
aila jyrkiäinen from gundam build fighters, platinum blonde hair, gundam build fighters setting
airi from queens blade, orange hair, queens blade setting
ais wallenstein from danmachi is it wrong to pick up girls in a dungeon, blonde hair, danmachi is it wrong to pick up girls in a dungeon setting
aisha udgard from how a realist hero rebuilt the kingdom, blue hair, how a realist hero rebuilt the kingdom setting
aisha from rumble roses, blonde hair, rumble roses setting
aka ohtori from magicami dx, red hair, magicami dx setting
akagi from azur lane, dark brown hair, azur lane setting
akagi from kancolle, brown hair, kancolle setting
akali from league of legends, black hair, league of legends setting
akame from akame ga kill, black hair, akame ga kill setting
akane isshiki from vividred operation, red hair, vividred operation setting
akane kurokawa from oshi no ko, black hair, oshi no ko setting
akemi roppongi from dumbbell nan kilo moteru, brown hair, dumbbell nan kilo moteru setting
akemi from vagabond, brown hair, vagabond setting
akeno himejima from high school dxd, black hair, high school dxd setting
akira hiiragi from valkyrie drive, silver hair, valkyrie drive setting
akko kagari from little witch academia, brown hair, little witch academia setting
alana from image comics, black hair, image comics setting
albedo from overlord, black hair, overlord setting
albion from azur lane, blonde hair, azur lane setting
alexandrina sebastiane victoria from zenless zone zero, bright grey white hair, zenless zone zero setting
alhaitham from genshin impact, green hair, genshin impact setting
alice liddle from zenescope, blonde hair, zenescope setting
alice margatroid from bloody roar, blonde hair, bloody roar setting
alice nakata from garou densetsu, blonde hair, garou densetsu setting
alice nakiri from food wars, white hair, food wars setting
alice tsukagami from bloody roar, blonde hair, bloody roar setting
alice zuberg from sword art online, blonde hair, sword art online setting
alice from goddess of victory nikke, blonde hair, goddess of victory nikke setting
alicent hightower from house of the dragon, brown hair, house of the dragon setting
alicia arcturus from freezing, violet hair, freezing setting
alisa bosconovitch from tekken, rose hair, tekken setting
alleyne from queens blade, blonde hair, queens blade setting
aloy from horizon zero dawn, orange hair, horizon zero dawn setting
alsace from azur lane, blonde hair, azur lane setting
alyx vance from half-life, black hair, half-life setting
amagi bc from azur lane, brown hair, azur lane setting
amagi cv from azur lane, dark brown hair, azur lane setting
amane okayama from negative positive angler, brown hair, negative positive angler setting
amane suzuha from chaos head visual novel indie-adaptation, brown hair, chaos head visual novel indie-adaptation setting
amara from borderlands, black hair, borderlands setting
amaryllis from dr stone, black hair, dr stone setting
amaterasu from kamihime project, black hair, kamihime project setting
amatsukaze alt ver from kantai collection fan, silver hair, kantai collection fan setting
ambessa from league of legends, black hair, league of legends setting
amelia evans from freezing, silver hair, freezing setting
amelia evans from princess principal, blonde hair, princess principal setting
america chavez from doctor strange, black hair, doctor strange setting
ami kawashima from toradora, blue hair, toradora setting
amicia de rune from a plague tale, brown hair, a plague tale setting
amuro ninagawa from kenkou zenrakei suieibu umishou, blonde hair, kenkou zenrakei suieibu umishou setting
amy sorel from soul calibur, orange hair, soul calibur setting
anastasia from brown dust 2, white hair, brown dust 2 setting
anastasia from fate grand order, silver hair, fate grand order setting
anby demara from zenless zone zero, white and silver hair, zenless zone zero setting
anby demara from zenless zone zero, blonde hair, zenless zone zero setting
anchorage from azur lane, light blue hair, azur lane setting
android 18 from dragonball z, blonde hair, dragonball z setting
android 21 from dragon ball fighter z, white hair, dragon ball fighter z setting
anesthesia from rumble roses, brown hair, rumble roses setting
ange angelise from cross ange, blonde hair, cross ange setting
ange from cross ange, blonde hair, cross ange setting
angel from the king of fighters, white hair, the king of fighters setting
angela balzac from expelled from paradise, blonde hair, expelled from paradise setting
angela from carole & tuesday, blonde hair, carole & tuesday setting
anis from goddess of victory nikke, blonde hair, goddess of victory nikke setting
anko mitarashi from naruto, purple hair, naruto setting
ann takamaki panther from persona 5, blonde hair, persona 5 setting
anna kurauchi from he is my master, red hair, he is my master setting
anna nishikinomiya from shimoneta, white hair, shimoneta setting
anna williams from tekken, brown hair, tekken setting
anna williams from tekken, brown hair, tekken setting
anna from fire emblem, red hair, fire emblem setting
anna from oneechanbara, blonde hair, oneechanbara setting
annette fantine dominic from fire emblem, orange hair, fire emblem setting
annette rockhart from freezing, red hair, freezing setting
annie leonhart from attack on titan, blonde hair, attack on titan setting
anri sonohara from durarara, black hair, durarara setting
antonia from cat planet cuties, blonde hair, cat planet cuties setting
anya forger from spy x family, rose hair, spy x family setting
anzu yamasaki from gantz g, blonde hair, gantz g setting
aoi futaba from cat planet cuties, blue hair, cat planet cuties setting
aoi futaba from vividred operation, blue hair, vividred operation setting
aphrodite from hades, rose hair, hades setting
aphrodite from record of ragnarok, blonde hair, record of ragnarok setting
aqua hoshino from oshi no ko, blue hair, oshi no ko setting
aqua from konosuba, light blue hair, konosuba setting
aranea highwind from final fantasy xv, grey hair, final fantasy xv setting
archangel milae from tenkafuma, silver hair, tenkafuma setting
archdemon ba’al from tenkafuma, purple hair, tenkafuma setting
